lien,Emmanuel Macron,Marine Le Pen
https://www.journaldunet.com/management/ville/le-monastere/ville-12146,63.77,36.23
https://www.journaldunet.com/management/ville/champagne/ville-17083,45.45,54.55
https://www.journaldunet.com/management/ville/muizon/ville-51391,56.31,43.69
https://www.journaldunet.com/management/ville/crosmieres/ville-72110,45.44,54.56
https://www.journaldunet.com/management/ville/eguzon-chantome/ville-36070,44.15,55.85
https://www.journaldunet.com/management/ville/changy/ville-51122,44.05,55.95
https://www.journaldunet.com/management/ville/soulangy/ville-14677,60.9,39.1
https://www.journaldunet.com/management/ville/sternenberg/ville-68326,43.75,56.25
https://www.journaldunet.com/management/ville/le-fresne-poret/ville-50193,44.53,55.47
https://www.journaldunet.com/management/ville/crespian/ville-30098,39.83,60.17
https://www.journaldunet.com/management/ville/camoel/ville-56030,56.54,43.46
https://www.journaldunet.com/management/ville/englancourt/ville-02276,37.08,62.92
https://www.journaldunet.com/management/ville/jussy/ville-89212,50.22,49.78
https://www.journaldunet.com/management/ville/wavrans-sur-ternoise/ville-62883,49.12,50.88
https://www.journaldunet.com/management/ville/saint-leon/ville-03240,45.34,54.66
https://www.journaldunet.com/management/ville/saint-jean-d-arvey/ville-73243,65.41,34.59
https://www.journaldunet.com/management/ville/gourgeon/ville-70272,47.83,52.17
https://www.journaldunet.com/management/ville/onlay/ville-58199,51.0,49.0
https://www.journaldunet.com/management/ville/baugy/ville-18023,44.43,55.57
https://www.journaldunet.com/management/ville/lion-sur-mer/ville-14365,69.42,30.58
https://www.journaldunet.com/management/ville/ozeville/ville-50390,55.56,44.44
https://www.journaldunet.com/management/ville/peyrieu/ville-01294,51.45,48.55
https://www.journaldunet.com/management/ville/poincy/ville-77369,46.5,53.5
https://www.journaldunet.com/management/ville/bellefonds/ville-86020,48.95,51.05
https://www.journaldunet.com/management/ville/mooslargue/ville-68216,50.0,50.0
https://www.journaldunet.com/management/ville/beaucourt-en-santerre/ville-80064,54.64,45.36
https://www.journaldunet.com/management/ville/fresnay/ville-10161,70.73,29.27
https://www.journaldunet.com/management/ville/montataire/ville-60414,58.1,41.9
https://www.journaldunet.com/management/ville/concots/ville-46073,55.6,44.4
https://www.journaldunet.com/management/ville/bannalec/ville-29004,55.01,44.99
https://www.journaldunet.com/management/ville/lheraule/ville-60359,51.43,48.57
https://www.journaldunet.com/management/ville/le-hingle/ville-22082,59.85,40.15
https://www.journaldunet.com/management/ville/plougar/ville-29187,65.33,34.67
https://www.journaldunet.com/management/ville/essouvert/ville-17277,42.5,57.5
https://www.journaldunet.com/management/ville/gouvets/ville-50214,51.81,48.19
https://www.journaldunet.com/management/ville/montbazon/ville-37154,68.39,31.61
https://www.journaldunet.com/management/ville/lesches-en-diois/ville-26164,66.04,33.96
https://www.journaldunet.com/management/ville/montloue/ville-02519,42.16,57.84
https://www.journaldunet.com/management/ville/sarcey/ville-69173,58.56,41.44
https://www.journaldunet.com/management/ville/xeuilley/ville-54596,52.17,47.83
https://www.journaldunet.com/management/ville/verdigny/ville-18274,65.12,34.88
https://www.journaldunet.com/management/ville/lauzes/ville-46162,65.6,34.4
https://www.journaldunet.com/management/ville/terrehault/ville-72352,30.34,69.66
https://www.journaldunet.com/management/ville/saint-sebastien-de-raids/ville-50552,56.06,43.94
https://www.journaldunet.com/management/ville/aougny/ville-51013,42.65,57.35
https://www.journaldunet.com/management/ville/saint-germain/ville-86223,49.1,50.9
